City,Date,Road,Cycle,Ratio,Total,Cycleway,NoVehicle1,NoVehicle2,Designated,Lane,LeftLane,RightLane
London,2021-01-01T00:00:00Z,30475614.15,2221040.056,0.07287925505,30475614.15,1190832.448,203871.307,27421.82,172878.033,151769.278,285219.618,189047.552
Cambridge,2021-01-01T00:00:00Z,1031113.416,161973.462,0.1570859805,1031113.416,111159.761,4196.058,586.724,2835.541,17118.825,14154.571,11921.982
Leicester,2021-01-01T00:00:00Z,1608827.287,166357.168,0.1034027514,1608827.287,91650.928,6581.617,0,36593.498,18367.412,8210.439,4953.274
Liverpool,2021-01-01T00:00:00Z,2520600.992,97958.968,0.03886333787,2520600.992,55843.649,3017.958,0,541.921,25002.796,10997.186,2555.458
Cardiff,2021-01-01T00:00:00Z,2499988.728,158518.528,0.06340769709,2499988.728,101485.611,9598.631,0,18845.684,18154.089,8310.951,2123.562
Birmingham,2021-01-01T00:00:00Z,5146319.937,258715.349,0.05027191317,5146319.937,167925.248,9085.451,1740.872,48701.85,14674.191,13456.542,3131.195
London,2020-11-01T00:00:00Z,30178935.79,2193430.183,0.0726808327,30178935.79,1185580.581,201612.987,27378.892,172679.79,147923.119,276031.684,182223.13
Cambridge,2020-11-01T00:00:00Z,1024415.278,162782.447,0.1589027912,1024415.278,111302.309,4173.31,586.724,2832.727,17888.085,14075.57,11923.722
Leicester,2020-11-01T00:00:00Z,1596373.538,166188.733,0.1041039137,1596373.538,90964.688,6583.06,0,37104.17,18368.698,8214.843,4953.274
Liverpool,2020-11-01T00:00:00Z,2488695.061,97784.426,0.03929144536,2488695.061,55644.672,2905.916,0,541.921,25004.813,11128.11,2558.994
Cardiff,2020-11-01T00:00:00Z,2477022.588,158940.402,0.0641659074,2477022.588,102283.967,9598.631,0,18675.212,18090.989,8164.726,2126.877
Birmingham,2020-11-01T00:00:00Z,5101589.285,245200.913,0.04806363259,5101589.285,155487.759,7809.893,1605.503,51855.95,13818.646,12302.565,2320.597
London,2020-09-01T00:00:00Z,29671499.37,2177513.104,0.07338736329,29671499.37,1182141.8,193690.335,27329.587,200991.099,144335.931,255977.76,173046.592
Cambridge,2020-09-01T00:00:00Z,1015669.456,162459.823,0.1599534396,1015669.456,111034.579,4099.275,586.724,2832.727,17882.242,14156.247,11868.029
Leicester,2020-09-01T00:00:00Z,1576494.943,166143.853,0.1053881294,1576494.943,91067.646,6355.294,0,37258.068,18297.081,8212.49,4953.274
Liverpool,2020-09-01T00:00:00Z,2440797.537,93267.358,0.03821183715,2440797.537,54975.027,2714.624,0,486.058,19973.371,12128.573,2989.705
Cardiff,2020-09-01T00:00:00Z,2420173.19,156407.824,0.06462670715,2420173.19,100810.929,8177.136,0,18675.59,18258.014,8360.543,2125.612
Birmingham,2020-09-01T00:00:00Z,5037137.519,240521.967,0.04774973208,5037137.519,154521.547,6057.172,826.053,50726.761,15391.778,10750.258,2248.398
London,2020-07-01T00:00:00Z,29266135.16,2150352.412,0.07347579037,29266135.16,1171147.493,186655.778,27354.867,206535.565,143706.606,247831.55,167120.553
Cambridge,2020-07-01T00:00:00Z,1009773.389,161791.24,0.1602252959,1009773.389,109888.307,4014.313,586.724,2832.727,20671.646,12043.555,11753.968
Leicester,2020-07-01T00:00:00Z,1566779.133,166460.872,0.1062439935,1566779.133,90695.934,6240.828,0,37714.959,18302.377,8380.947,5125.827
Liverpool,2020-07-01T00:00:00Z,2429675.716,87098.432,0.03584776002,2429675.716,54668.018,2575.955,0,233.417,19859.201,7140.912,2620.929
Cardiff,2020-07-01T00:00:00Z,2407192.386,156725.735,0.06510727431,2407192.386,102489.007,6923.417,0,18522.132,18305.024,8360.543,2125.612
Birmingham,2020-07-01T00:00:00Z,5019540.823,239588.643,0.04773118726,5019540.823,154044.927,6001.717,826.053,50357.256,15391.777,10718.515,2248.398
London,2020-05-01T00:00:00Z,29011732.23,2102852.012,0.07248281472,29011732.23,1134431.9,185077.538,27354.867,208041.328,141554.105,241733.739,164658.535
Cambridge,2020-05-01T00:00:00Z,1002765.221,163833.782,0.1633819947,1002765.221,109511.06,4014.313,586.724,2832.727,21609.996,12668.97,12609.992
Leicester,2020-05-01T00:00:00Z,1559613.889,162943.998,0.1044771396,1559613.889,83344.558,6251.971,0,41555.064,18302.768,8381.029,5108.608
Liverpool,2020-05-01T00:00:00Z,2422389.404,85125.309,0.03514105076,2422389.404,52642.999,2582.623,44.978,233.417,19859.201,7141.162,2620.929
Cardiff,2020-05-01T00:00:00Z,2361203.153,157701.377,0.06678856785,2361203.153,103692.166,7508.285,0,17752.637,18333.268,8289.415,2125.606
Birmingham,2020-05-01T00:00:00Z,5013045.923,239584.533,0.04779220791,5013045.923,154045.621,6001.717,826.053,50357.256,15391.777,10713.711,2248.398
London,2020-03-01T00:00:00Z,28842721.11,2091194.296,0.07250336362,28842721.11,1129981.556,183802.51,27355.312,210035.159,141258.235,237209.882,161551.642
Cambridge,2020-03-01T00:00:00Z,998659.272,161733.504,0.1619506358,998659.272,107873.471,3771.376,535.632,2832.727,21441.338,12668.969,12609.991
